Registration Series,Registration Zone / City
OR-01,Balasore
OR-02,Bhubaneswar
OR-03,Bolangir
OR-04,Chandikhol
OR-05,Cuttack
OR-06,Dhenkanal
OR-07,Ganjam
OR-08,Kalahandi
OR-09,Keonjhar
OR-10,Koraput
OR-11,Mayurbhanj
OR-12,Phulabani Khandamal
OR-13,Puri
OR-14,Rourkela
OR-15,Sambalpur
OR-16,Sundergarh
OR-17,Baragarh
OR-18,Rayagada
OR-19,Angul
OR-20,Gajapati
OR-21,Jagatsinghpur
OR-22,Bhadrak
OR-23,Jharsuguda
OR-24,Nabarangpur
OR-25,Nayagarh
OR-26,Nuapada
OR-27,Boudh
OR-28,Debagarh
OR-29,Kendrapara
OR-30,Malkangiri
OR-31,Sonepur
OD-01,Balasore
OD-02,Bhubaneswar
OD-03,Bolangir
OD-04,Chandikhol
OD-05,Cuttack
OD-06,Dhenkanal
OD-07,Ganjam
OD-08,Kalahandi
OD-09,Keonjhar
OD-10,Koraput
OD-11,Mayurbhanj
OD-12,Phulabani Khandamal
OD-13,Puri
OD-14,Rourkela
OD-15,Sambalpur
OD-16,Sundergarh
OD-17,Baragarh
OD-18,Rayagada
OD-19,Angul
OD-20,Gajapati
OD-21,Jagatsinghpur
OD-22,Bhadrak
OD-23,Jharsuguda
OD-24,Nabarangpur
OD-25,Nayagarh
OD-26,Nuapada
OD-27,Boudh
OD-28,Debagarh
OD-29,Kendrapara
OD-30,Malkangiri
OD-31,Sonepur
PB-01,Chandigarh
PB-02,Amritsar
PB-03,Bathinda
PB-04,Faridkot
PB-05,Ferozepur
PB-06,Gurdaspur
PB-07,Hoshiarpur
PB-08,Jalandhar
PB-09,Kapurthala
PB-10,Ludhiana
PB-11,Patiala
PB-12,Ropar
PB-13,Sangrur
PB-14,Ajnala
PB-15,Abohar
PB-16,Anandpur Sahib
PB-17,Baba Bakala
PB-18,Batala
PB-19,Barnala
PB-20,Balachaur
PB-21,Dasuya
PB-22,Fazilka
PB-23,Fatehgarh Sahib
PB-24,Garhshankar
PB-25,Jagraon
PB-26,Khanna
PB-27,Kharar
PB-28,Malerkotla
PB-29,Moga
PB-30,Muktsar
PB-31,Mansa
PB-32,Nawanshahr
PB-33,Nakodar
PB-34,Nabha 
PB-35,Pathankot
PB-36,Phagwara
PB-37,Phillaur
PB-38,Patti
PB-39,Rajpura
PB-40,Rampura Phul
PB-41,Sultanpur Lodhi
PB-42,Samana 
PB-43,Samrala
PB-44,Sunam
PB-45,Talwandi Sabo
PB-46,Tarn Taran
PB-47,Zira
PB-48,Amloh
PB-49,Khamano
PB-50,Budhlada
PB-51,Jhunir
PB-52,Bassi Pathana
PB-53,Malout
PB-54,Mukerian
PB-55,Payal
PB-56,Raikot
PB-57,Bhulath
PB-58,Dera Baba Nanak
PB-59,Dhuri
PB-60,Gidderbaha
PB-61,Jalalabad
PB-62,Jaitu
PB-63,Khadoor Sahib
PB-64,Moonak
PB-65,Mohali
